id,label,artist,title,year,language,genre_tags,rights_basis,rights_notes,local_relpath,duration_s,lufs_pre,lufs_post,hit_definition_id,pair_id,notes
hit-soda-stereo-de-m-sica-ligera-lyrics,hit,Soda Stereo,Soda Stereo - De Música Ligera (Lyrics),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=9721249,hit-soda-stereo-de-m-sica-ligera-lyrics/audio.wav,213.148,-9.97,-19.95,user-labeled-v2-folders,pair-soda-0,cohort v2 full tracks; label = user folder assignment
nonh-soda-stereo-primavera-0-official-video,nonhit,Soda Stereo,Soda Stereo - Primavera 0 (Official Video),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=3400710,nonh-soda-stereo-primavera-0-official-video/audio.wav,230.571,-11.15,-19.97,user-labeled-v2-folders,pair-soda-0,cohort v2 full tracks; label = user folder assignment
hit-soda-stereo-cuando-pase-el-temblor-offic,hit,Soda Stereo,Soda Stereo - Cuando Pase el Temblor (Official Video),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=111373552,hit-soda-stereo-cuando-pase-el-temblor-offic/audio.wav,269.572,-13.40,-19.01,user-labeled-v2-folders,pair-soda-1,cohort v2 full tracks; label = user folder assignment
nonh-soda-stereo-angel-el-ctrico-official-aud,nonhit,Soda Stereo,Soda Stereo - Angel Eléctrico (Official Audio),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=1088848,nonh-soda-stereo-angel-el-ctrico-official-aud/audio.wav,277.803,-9.57,-19.52,user-labeled-v2-folders,pair-soda-1,cohort v2 full tracks; label = user folder assignment
hit-sumo-la-rubia-tarada-official-video,hit,Sumo,Sumo - La Rubia Tarada (Official Video),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=17245379,hit-sumo-la-rubia-tarada-official-video/audio.wav,186.201,-13.28,-19.70,user-labeled-v2-folders,pair-sumo-0,cohort v2 full tracks; label = user folder assignment
nonh-sumo-breaking-away-corpi-os-en-la-madrug,nonhit,Sumo,Sumo - Breaking Away (Corpiños en la Madrugada),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=4925691,nonh-sumo-breaking-away-corpi-os-en-la-madrug/audio.wav,321.678,-15.68,-20.37,user-labeled-v2-folders,pair-sumo-0,cohort v2 full tracks; label = user folder assignment
hit-sumo-mejor-no-hablar-de-ciertas-cosas-of,hit,Sumo,Sumo - Mejor No Hablar de Ciertas Cosas (Official Audio),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=5382515,hit-sumo-mejor-no-hablar-de-ciertas-cosas-of/audio.wav,283.005,-8.16,-19.50,user-labeled-v2-folders,pair-sumo-1,cohort v2 full tracks; label = user folder assignment
nonh-sumo-estallando-desde-el-oceano-official,nonhit,Sumo,Sumo - Estallando Desde El Oceano (Official Video),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=1616661,nonh-sumo-estallando-desde-el-oceano-official/audio.wav,134.525,-13.85,-19.26,user-labeled-v2-folders,pair-sumo-1,cohort v2 full tracks; label = user folder assignment
hit-charly-garc-a-no-voy-en-tren-official-au,hit,Charly García,Charly García - No Voy en Tren (Official Audio),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=11443386,hit-charly-garc-a-no-voy-en-tren-official-au/audio.wav,183.171,-13.33,-19.68,user-labeled-v2-folders,pair-charly-0,cohort v2 full tracks; label = user folder assignment
nonh-charly-garc-a-bancate-ese-defecto-audio,nonhit,Charly García,Charly García - Bancate Ese Defecto (Audio),,es,argentine-rock,user-supplied-local-files,user-provided full-track WAV; source view_count=756802,nonh-charly-garc-a-bancate-ese-defecto-audio/audio.wav,292.212,-12.52,-19.96,user-labeled-v2-folders,pair-charly-0,cohort v2 full tracks; label = user folder assignment
